              0	              0	              0	              0	              0	              0	              0	              0	             11	             12	             13	             14	             13	             12	             14	             14	              8	              8	             10	             11	             12	             11	             13	             13	              8	             10	             10	             13	              4	              5	              7	              9	              4	              7	              8	             11	              3	              4	              8	              9	              9	             10	             12	             14	             11	             11	             13	             14
              0	              0	              0	              0	              0	              0	              0	              0	             12	             11	             12	             13	             14	             13	             14	             14	             10	              9	             11	             11	             14	             12	             14	             13	              8	              9	              8	             11	              3	              4	              4	              7	              7	              9	             10	             13	              4	              5	              8	             10	              8	              8	             11	             12	             11	             10	             13	             13
              0	              0	              0	              0	              0	              0	              0	              0	             13	             12	             11	             12	             14	             13	             13	             12	             10	              8	              8	              8	             13	             11	             12	             11	             10	             11	              8	             10	              7	              6	              4	              5	              8	             10	             11	             13	              8	              8	             11	             12	              4	              5	              8	             10	              7	              6	             10	             11
              0	              0	              0	              0	              0	              0	              0	              0	             14	             13	             12	             11	             16	             14	             14	             13	             13	             11	             10	              9	             15	             13	             14	             12	             11	             11	              8	              9	              8	              7	              3	              4	             11	             13	             13	             15	              9	             10	             12	             14	              3	              4	              8	              9	              8	              7	             11	             11
              0	              0	              0	              0	              0	              0	              0	              0	             13	             14	             14	             16	             11	             12	             13	             14	              4	              3	              7	              8	              9	              8	             11	             11	             12	             14	             13	             15	              9	             10	             11	             13	              3	              4	              8	              9	              8	              7	             11	             11	             11	             13	             13	             15	              9	             10	             12	             14
              0	              0	              0	              0	              0	              0	              0	              0	             12	             13	             13	             14	             12	             11	             12	             13	              5	              4	              6	              7	             10	              8	             11	             10	             11	             12	             11	             13	              8	              8	              8	             10	              4	              5	              8	             10	              7	              6	             10	             11	              8	             10	             11	             13	              8	              8	             11	             12
              0	              0	              0	              0	              0	              0	              0	              0	             14	             14	             13	             14	             13	             12	             11	             12	              7	              4	              4	              3	             11	              8	              9	              8	             13	             14	             12	             14	             11	             11	              9	             10	              8	              8	             11	             12	             11	             10	             13	             13	              7	              9	             10	             13	              4	              5	              8	             10
              0	              0	              0	              0	              0	              0	              0	              0	             14	             14	             12	             13	             14	             13	             12	             11	              9	              7	              5	              4	             13	             10	             10	              8	             13	             13	             11	             12	             11	             10	              8	              8	              9	             10	             12	             14	             11	             11	             13	             14	              4	              7	              8	             11	              3	              4	              8	              9
             11	             12	             13	             14	             13	             12	             14	             14	              0	              0	              0	              0	              0	              0	              0	              0	             11	             12	             12	             14	              8	              8	              9	             11	              5	              4	              8	              8	             10	              8	             12	             11	             10	              9	              5	              6	             10	              8	              4	              2	             13	             12	             10	             10	             15	             13	             12	             10
             12	             11	             12	             13	             14	             13	             14	             14	              0	              0	              0	              0	              0	              0	              0	              0	             12	             13	             13	             15	             10	             10	             10	             12	              4	              2	              5	              6	             10	              8	             10	              9	             12	             11	              8	              8	             10	              8	              5	              4	             12	             11	              8	              8	             14	             12	             11	              9
             13	             12	             11	             12	             14	             13	             13	             12	              0	              0	              0	              0	              0	              0	              0	              0	             12	             13	             11	             12	              9	              9	              8	              8	              8	              5	              5	              4	             12	              9	             10	              8	             13	             12	              9	              9	             12	             11	              8	              8	             10	              8	              5	              4	             12	              9	              8	              5
             14	             13	             12	             11	             16	             14	             14	             13	              0	              0	              0	              0	              0	              0	              0	              0	             14	             15	             12	             13	             12	             12	             10	             10	              8	              6	              4	              2	             12	              9	             10	              8	             15	             14	             12	             12	             13	             12	             10	             10	             10	              8	              4	              2	             12	              9	              8	              6
             13	             14	             14	             16	             11	             12	             13	             14	              0	              0	              0	              0	              0	              0	              0	              0	              8	             10	              9	             12	              2	              4	              6	              8	             10	             10	             12	             12	             13	             12	             15	             14	             10	              8	              4	              2	             12	              9	              8	              6	             15	             14	             12	             12	             13	             12	             10	             10
             12	             13	             13	             14	             12	             11	             12	             13	              0	              0	              0	              0	              0	              0	              0	              0	              8	             10	              9	             12	              4	              5	              5	              8	              8	              8	              9	              9	             12	             11	             13	             12	             10	              8	              5	              4	             12	              9	              8	              5	             13	             12	              9	              9	             12	             11	              8	              8
             14	             14	             13	             14	             13	             12	             11	             12	              0	              0	              0	              0	              0	              0	              0	              0	              9	             10	              8	             10	              6	              5	              2	              4	             12	             10	             10	             10	             15	             13	             13	             12	             12	             11	              8	              8	             14	             12	             11	              9	             12	             11	              8	              8	             10	              8	              5	              4
             14	             14	             12	             13	             14	             13	             12	             11	              0	              0	              0	              0	              0	              0	              0	              0	             11	             12	              8	             10	              8	              8	              4	              5	             11	              9	              8	              8	             14	             12	             12	             11	             13	             12	             10	             10	             15	             13	             12	             10	             10	              9	              5	              6	             10	              8	              4	              2
