              0	              0	             11	             13	              8	              6	              8	             11	              6	              8	              8	             11
              0	              0	             13	             11	             11	              8	              6	              8	              8	             11	              6	              8
             11	             13	              0	              0	              5	              9	             11	              9	              9	              5	             11	              9
             13	             11	              0	              0	              9	             11	              9	              5	             11	              9	              9	              5
              8	             11	              5	              9	              0	              0	             12	             12	              9	              5	              9	             11
              6	              8	              9	             11	              0	              0	             12	             12	             11	              9	              5	              9
              8	              6	             11	              9	             12	             12	              0	              0	              5	              9	             11	              9
             11	              8	              9	              5	             12	             12	              0	              0	              9	             11	              9	              5
              6	              8	              9	             11	              9	             11	              5	              9	              0	              0	             12	             12
              8	             11	              5	              9	              5	              9	              9	             11	              0	              0	             12	             12
              8	              6	             11	              9	              9	              5	             11	              9	             12	             12	              0	              0
             11	              8	              9	              5	             11	              9	              9	              5	             12	             12	              0	              0
